Date,GC=F,CL=F,BZ=F,NG=F,RB=F
2010-03-14,1101.5,81.23999786376953,79.38999938964844,4.400000095367432,2.255000114440918
2010-03-15,1105.0999755859375,79.80000305175781,77.88999938964844,4.390999794006348,2.2228000164031982
2010-03-16,1122.199951171875,81.69999694824219,79.0199966430664,4.3470001220703125,2.2750000953674316
2010-03-17,1124.0,82.93000030517578,81.95999908447266,4.302999973297119,2.3097000122070312
2010-03-18,1127.4000244140625,82.19999694824219,81.4800033569336,4.085000038146973,2.3008999824523926
2010-03-19,1107.4000244140625,80.68000030517578,79.87999725341797,4.169000148773193,2.2555999755859375
2010-03-20,1107.4000244140625,80.68000030517578,79.87999725341797,4.169000148773193,2.2555999755859375
2010-03-21,1107.4000244140625,80.68000030517578,79.87999725341797,4.169000148773193,2.2555999755859375
2010-03-22,1099.300048828125,81.25,80.54000091552734,4.078999996185303,2.256200075149536
2010-03-23,1103.5,81.91000366210938,80.69999694824219,4.130000114440918,2.2627999782562256
2010-03-24,1088.5999755859375,80.61000061035156,79.62000274658203,4.105000019073486,2.2211999893188477
2010-03-25,1092.699951171875,80.52999877929688,79.61000061035156,3.9809999465942383,2.2177000045776367
2010-03-26,1104.199951171875,80.0,79.29000091552734,3.871999979019165,2.20740008354187
2010-03-27,1104.199951171875,80.0,79.29000091552734,3.871999979019165,2.20740008354187
2010-03-28,1104.199951171875,80.0,79.29000091552734,3.871999979019165,2.20740008354187
2010-03-29,1110.300048828125,82.16999816894531,81.16999816894531,3.8420000076293945,2.2613000869750977
2010-03-30,1104.5,82.37000274658203,81.27999877929688,3.9730000495910645,2.2746999263763428
2010-03-31,1113.300048828125,83.76000213623047,82.69999694824219,3.86899995803833,2.309999942779541
2010-04-01,1125.0999755859375,84.87000274658203,84.01000213623047,4.085999965667725,2.323699951171875
2010-04-02,1125.0999755859375,84.87000274658203,84.01000213623047,4.085999965667725,2.323699951171875
2010-04-03,1125.0999755859375,84.87000274658203,84.01000213623047,4.085999965667725,2.323699951171875
2010-04-04,1125.0999755859375,84.87000274658203,84.01000213623047,4.085999965667725,2.323699951171875
2010-04-05,1132.9000244140625,86.62000274658203,85.87999725341797,4.2769999504089355,2.3501999378204346
2010-04-06,1135.0999755859375,86.83999633789062,86.1500015258789,4.0960001945495605,2.348299980163574
2010-04-07,1152.300048828125,85.87999725341797,85.58999633789062,4.019000053405762,2.31469988822937
2010-04-08,1152.199951171875,85.38999938964844,84.80999755859375,3.9089999198913574,2.29830002784729
2010-04-09,1161.0999755859375,84.91999816894531,84.83000183105469,4.070000171661377,2.289299964904785
2010-04-10,1161.0999755859375,84.91999816894531,84.83000183105469,4.070000171661377,2.289299964904785
2010-04-11,1161.0999755859375,84.91999816894531,84.83000183105469,4.070000171661377,2.289299964904785
2010-04-12,1161.5999755859375,84.33999633789062,84.7699966430664,4.007999897003174,2.295799970626831
2010-04-13,1152.800048828125,84.05000305175781,84.72000122070312,4.159999847412109,2.309299945831299
2010-04-14,1159.0,85.83999633789062,86.1500015258789,4.198999881744385,2.33270001411438
2010-04-15,1159.699951171875,85.51000213623047,87.16999816894531,3.984999895095825,2.326200008392334
