,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
M2,0.9729441878397612,0.083237415500183,-0.7216389911538329,-0.07604655139044476,-0.11812578494564334,0.6913525006284165,-0.4909691312525403,0.6636166932985749,0.3411251113849743,-0.8375120756611268,0.9680669830967656,0.9209915204102538,1.0,0.35807317793894655,0.5586903360808753,0.812509799949225,0.9806558307893493,0.9700107657905924,0.9001413571169211,0.577307464005074,-0.2404216980477755,-0.29762639317117545,0.24822364635813163,-0.16913216043086615
Industrial Production: Total Index,0.27773293232857366,0.6739591102915558,0.1428132805465026,0.12161138296347625,0.14445612341575284,0.7843418951713592,-0.8802870635665367,0.20969607994270162,0.5162006762196503,-0.1554408092315853,0.48123050119777383,0.13318560473436203,0.35807317793894655,1.0,0.6367603994206543,0.3097901474121026,0.41668508859423586,0.37396561795175565,0.5564107215826412,-0.1446349175037972,0.008623549633951759,-0.011523792794271471,0.1463638263286204,0.05259532608104585
US_Manufacturing_PMI,0.5682755661916629,0.04942315479823447,-0.17914277605817225,0.24208548064665636,0.2988592834191357,0.4903588635648657,-0.4977915726905357,0.771529399880275,0.29056694332526456,-0.6171312628650978,0.6693090482530445,0.5749396293645732,0.5586903360808753,0.6367603994206543,1.0,0.17371111724350846,0.6101763974980452,0.6015405106609778,0.48311721691653503,0.4203100349191903,0.5109565172240584,0.4712983493282544,0.6388386489431389,0.5656071044129154
New One Family Houses Sold,0.7663094684847985,0.3747644815738245,-0.54777130172722,-0.3391394650160763,-0.41626126728578594,0.6548405807438942,-0.4626230857052595,0.20941643411221586,0.2854341443500114,-0.5197395167579233,0.7201409317090142,0.6620005034710196,0.812509799949225,0.3097901474121026,0.17371111724350846,1.0,0.7425638466362278,0.7126321351986806,0.8740908824981719,0.37135240432294847,-0.557844419708961,-0.5912991718406958,-0.21084135195095569,-0.5150587168726715
S&P CoreLogic Case-Shiller U.S. National Home Price Index,0.9518984135845251,0.06039379510125439,-0.7287932248070771,0.08171538501080804,0.03968046267316224,0.7491794587570925,-0.5642052744154894,0.7238667660956789,0.4422572056002579,-0.8392893317834009,0.9841808974324363,0.8857470079246709,0.9806558307893493,0.41668508859423586,0.6101763974980452,0.7425638466362278,1.0,0.9947068442177033,0.8764432229596814,0.4961251708207211,-0.18733911507300108,-0.2569547502159119,0.35380529896322804,-0.11985456515127041
All-Transactions House Price Index for the United States,0.9477673955771609,-0.000477789059238605,-0.7597462261095429,0.13053965081358326,0.08186047656711924,0.7255234808208223,-0.5291205500610836,0.7517090011519045,0.46891064502163526,-0.8472753677437251,0.9809363328408677,0.8869631971855029,0.9700107657905924,0.37396561795175565,0.6015405106609778,0.7126321351986806,0.9947068442177033,1.0,0.8400582394516184,0.5237653479980742,-0.1660876923017587,-0.23321080572429725,0.3814107103568576,-0.09957389720629033
New Privately-Owned Housing Units Started: Total Units,0.8465678386764744,0.41230329567875074,-0.49399106851894614,-0.22334585280965252,-0.26020961918140045,0.8191096893432454,-0.6877136352962713,0.423597385967801,0.3320924419783533,-0.6352532687038074,0.8656285784420833,0.7314304406442976,0.9001413571169211,0.5564107215826412,0.48311721691653503,0.8740908824981719,0.8764432229596814,0.8400582394516184,1.0,0.35588185123435684,-0.37647542042200727,-0.4312279715696346,0.032414568562799236,-0.3084000372239009
GC=F,0.6579820358750116,-0.40129967520336907,-0.5295304020976178,-0.241302066415819,-0.26355166533572166,0.038224828223692,0.15811482150538703,0.6013496860127662,-0.08530054999712834,-0.6934404719385445,0.527432628032049,0.720579560805274,0.577307464005074,-0.1446349175037972,0.4203100349191903,0.37135240432294847,0.4961251708207211,0.5237653479980742,0.35588185123435684,1.0,0.23060224006174584,0.2548849031727592,0.23069117057958138,0.2878458300894776
CL=F,-0.13065028441402893,-0.42916196237443516,0.18444402664718101,0.3126099102900036,0.40140191633524613,-0.33920914742080527,0.25122329868045445,0.3866886596100504,-0.1769194690189768,-0.09922359909997362,-0.13421300638630662,-0.028003835978772616,-0.2404216980477755,0.008623549633951759,0.5109565172240584,-0.557844419708961,-0.18733911507300108,-0.1660876923017587,-0.37647542042200727,0.23060224006174584,1.0,0.9793920482269908,0.6012908842791449,0.9616999529645092
BZ=F,-0.19083500995450353,-0.4197217850969089,0.22838717469806857,0.2802152320628139,0.3665333953511748,-0.38070017247629145,0.2903446904349875,0.33635372588102397,-0.1699222903567295,-0.0414024613539575,-0.18665565302359433,-0.09406984491934724,-0.29762639317117545,-0.011523792794271471,0.4712983493282544,-0.5912991718406958,-0.2569547502159119,-0.23321080572429725,-0.4312279715696346,0.2548849031727592,0.9793920482269908,1.0,0.5321604167011221,0.9608609485665048
NG=F,0.29054388851400303,-0.42389506958101736,-0.21838431566198038,0.5369512335784639,0.5884542609992185,0.0741044673249186,-0.07651163403991995,0.6975898742847427,0.12722064242761602,-0.4467975320022596,0.35287513802926573,0.39265292157417164,0.24822364635813163,0.1463638263286204,0.6388386489431389,-0.21084135195095569,0.35380529896322804,0.3814107103568576,0.032414568562799236,0.23069117057958138,0.6012908842791449,0.5321604167011221,1.0,0.6056458191373275
RB=F,-0.0755773540204496,-0.3881079810224448,0.169374814947486,0.28386359162482555,0.377285885525276,-0.27447630995927635,0.19050249233266478,0.43985379189097723,-0.15870140468554247,-0.1566727115533832,-0.053193158282573566,0.02823936064813652,-0.16913216043086615,0.05259532608104585,0.5656071044129154,-0.5150587168726715,-0.11985456515127041,-0.09957389720629033,-0.3084000372239009,0.2878458300894776,0.9616999529645092,0.9608609485665048,0.6056458191373275,1.0
